,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choices_numeric,choice_numeric_last,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,space_hit_points,goal_points,space_hit_points_total,total_score,metacontrol_accuracy
15540,15540,sub-043.csv,-0.9491525423728814,1,start,1,1,0,1,0,2.6969892537427853,1,0,1,0,space,48,0,1,0,1,2,0.0,0,Lost_Novel,2,1,0,-1,0.0,100,400,500,85800,1.0,1,4,1,5,1
15541,15541,sub-043.csv,-0.9152542372881356,2,start,1,1,1,1,0,2.02433836732875,1,1,1,0,space,48,1,1,0,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15542,15542,sub-043.csv,-0.864406779661017,3,start,1,1,1,1,0,1.0719944907638177,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15543,15543,sub-043.csv,-0.8305084745762712,4,start,1,1,1,1,0,1.9599680154490904,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15544,15544,sub-043.csv,-0.8135593220338984,5,start,1,1,1,0,0,1.2319186559763349,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15545,15545,sub-043.csv,-0.7966101694915254,6,start,1,1,1,0,0,2.145685638745514,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15546,15546,sub-043.csv,-0.7796610169491526,7,start,1,1,1,0,0,3.0702505186771045,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15547,15547,sub-043.csv,-0.7627118644067796,8,start,1,1,1,0,0,1.1253515858577314,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15548,15548,sub-043.csv,-0.6779661016949152,9,start,1,1,1,1,0,0.6449543379584601,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
15549,15549,sub-043.csv,-0.6440677966101694,10,start,1,1,1,1,0,1.4085938686146575,1,1,1,0,space,48,1,1,1,1,2,1.0,1,Won_Cached,2,1,0,-1,1.0,100,400,600,85800,1.0,1,4,2,6,1
