Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64731997caddbf26371fc448,6102bbdba4dd279363094fca,RETURNED,Not Applicable,2023-05-28T09:06:31.932000Z,2023-05-28T10:02:56.901000Z,,2024-12-28T13:08:45.832709Z,,NOCODE,1821,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731997eeedb40a0cd17013,60ef047e8969715a3db7181a,APPROVED,,2023-05-28T09:06:34.067000Z,2023-05-28T10:00:35.333000Z,2023-05-28T13:19:28.692000Z,2023-05-28T10:00:35.802868Z,3242,CHPYNJMX,345,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6473199811a458bb591ed6a5,601a788b7ab49028cd7a4ad4,RETURNED,Not Applicable,2023-05-28T09:06:32.661000Z,2023-05-28T09:36:36.475000Z,,2024-12-28T13:08:45.757745Z,,NOCODE,1081,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
647319985b958331fd736b0e,5e7a46d8e1e19301df4faab9,RETURNED,Not Applicable,2023-05-28T09:06:32.857000Z,,,2024-12-28T13:08:45.795033Z,,,1373,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731998acaa5296026b4a6e,5d28f05b1d8d93001ec26134,RETURNED,Not Applicable,2023-05-28T09:06:32.178000Z,2023-05-28T09:41:14.759000Z,,2024-12-28T13:08:45.781209Z,,NOCODE,1208,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731998fcf5c16a901ed691,5d7874252f037f0016637125,APPROVED,,2023-05-28T09:06:32.407000Z,2023-05-28T09:53:19.982000Z,2023-05-28T13:19:28.867000Z,2023-05-28T09:53:20.376371Z,2808,CHPYNJMX,1784,75,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
647319993e0c82500d9ca993,63effcaddd063d35ebc365d8,RETURNED,Not Applicable,2023-05-28T09:06:38.530000Z,,,2024-12-28T13:08:45.799467Z,,,1303,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731999482316d2dbce364b,597076ad965d930001322d01,APPROVED,,2023-05-28T09:06:36.575000Z,2023-05-28T09:37:50.363000Z,2023-05-29T09:18:21.193000Z,2023-05-28T09:37:50.752290Z,1874,NOCODE,835,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64731999727efbe3c0742759,5ced66139b5b490001b688ed,APPROVED,,2023-05-28T09:06:37.326000Z,2023-05-28T10:02:00.755000Z,2023-05-28T13:19:29.034000Z,2023-05-28T10:02:01.186792Z,3324,CHPYNJMX,1310,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
647319997fc04736b5f50be7,5ae9cde00335e200019e9eed,RETURNED,Not Applicable,2023-05-28T09:06:35.914000Z,,,2024-12-28T13:08:45.869730Z,,,2788,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6473199ad23538a8f48add3f,62b38331e0ef38710a5b0c78,RETURNED,Not Applicable,2023-05-28T09:06:34.599000Z,,,2024-12-28T13:08:45.900366Z,,,961,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6473199b6b28929f628da92e,60c770c2798ff49897e4826a,APPROVED,,2023-05-28T09:06:42.307000Z,2023-05-28T10:05:17.320000Z,2023-05-28T13:19:29.205000Z,2023-05-28T10:05:17.730100Z,3516,CHPYNJMX,50,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6473199be7c39157c917ae77,6365805113952480bdeed7b7,APPROVED,,2023-05-28T09:07:22.972000Z,2023-05-28T10:14:09.037000Z,2023-05-28T13:19:29.752000Z,2023-05-28T10:14:09.455131Z,4007,CHPYNJMX,493,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6473199c3f0eb3ea841dbcf8,6234a3d5cd2f63c705e5842d,APPROVED,,2023-05-28T09:06:36.902000Z,2023-05-28T10:01:34.928000Z,2023-05-28T13:19:29.932000Z,2023-05-28T10:01:35.445468Z,3299,CHPYNJMX,720,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6473199cb01d3b4b80192ae9,5c5fe9d34fff5700017ecdb4,APPROVED,,2023-05-28T09:06:36.337000Z,2023-05-28T09:52:28.348000Z,2023-05-28T13:19:30.104000Z,2023-05-28T09:52:28.828315Z,2753,CHPYNJMX,1651,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6473199cd308b2525d20003d,59501095c58c85000101dc57,RETURNED,Not Applicable,2023-05-28T09:06:36.590000Z,,,2024-12-28T13:08:45.862699Z,,,2278,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6473199d1acdfe73bda2ef6d,5b1efc25bdf4e1000163af46,APPROVED,,2023-05-28T09:06:37.159000Z,2023-05-28T09:55:07.025000Z,2023-05-28T13:19:30.285000Z,2023-05-28T09:55:07.414032Z,2910,CHPYNJMX,2231,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
6473199dcaa07571486b4a4c,54905775fdf99b7255546dfe,APPROVED,,2023-05-28T09:06:41.741000Z,2023-05-28T09:49:01.821000Z,2023-05-28T13:19:30.469000Z,2023-05-28T09:49:02.192919Z,2541,CHPYNJMX,1603,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6473199e6fdc02610a7b2427,55d22025cc2b18000c0b9d9c,APPROVED,,2023-05-28T09:06:41.800000Z,2023-05-28T10:15:53.268000Z,2023-05-28T13:19:30.635000Z,2023-05-28T10:15:53.682824Z,4152,CHPYNJMX,816,26,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6473199eec6511cac05082e2,5da6b2aca2860400146b8ace,APPROVED,,2023-05-28T09:06:42.203000Z,2023-05-28T10:13:30.447000Z,2023-05-28T13:19:30.820000Z,2023-05-28T10:13:30.853004Z,4009,CHPYNJMX,1145,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
