Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6679c323ce402d79af2a1baf,5c78b032419dcc0014119082,APPROVED,Not Applicable,2024-06-24T19:09:25.855000Z,2024-06-24T20:21:13.102000Z,2024-06-28T21:25:33.165000Z,2024-06-24T20:22:13.097908Z,4308.0,CHPYNJMX,4183,English,38,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6679c334ab8cbd4147dc72ce,5cbcadbe0b073500018c5f73,APPROVED,Not Applicable,2024-06-24T19:04:35.295000Z,2024-06-24T19:59:25.538000Z,2024-06-28T21:25:33.464000Z,2024-06-24T20:01:06.082899Z,3291.0,CHPYNJMX,1752,English,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679c3d1edea4bd02e10e0fe,6648e467d3461748e5d04527,APPROVED,Not Applicable,2024-06-24T19:07:16.865000Z,2024-06-24T20:52:58.261000Z,2024-07-15T00:06:34.260000Z,2024-06-24T20:53:42.195206Z,6342.0,NOCODE,72,English,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Full-Time
6679c44e5868c9e967509ed2,5ece9e3b3a19db0cf5af6692,APPROVED,Not Applicable,2024-06-24T19:09:08.915000Z,2024-06-24T19:53:26.501000Z,2024-06-28T21:25:33.728000Z,2024-06-24T19:53:27.003661Z,2658.0,CHPYNJMX,686,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679c455dd7e71db217e89d1,666ad349336face1001d745a,APPROVED,Not Applicable,2024-06-24T19:09:13.612000Z,2024-06-24T19:50:43.236000Z,2024-06-28T21:25:33.986000Z,2024-06-24T19:50:43.836605Z,2490.0,CHPYNJMX,29,"English, Malayalam, Spanish",19,Female,Asian,India,United Kingdom,United Kingdom,English,Yes,Full-Time
6679c4581978b75622cdd590,6658db348f6f9dd68d0405da,APPROVED,Not Applicable,2024-06-24T19:18:36.045000Z,2024-06-24T20:34:55.414000Z,2024-06-28T21:25:34.912000Z,2024-06-24T20:34:56.027396Z,4580.0,CHPYNJMX,39,English,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6679c45e002b34579f54a8f9,6658b6838e28e3383feae335,APPROVED,Not Applicable,2024-06-24T19:10:00.725000Z,2024-06-24T19:56:44.013000Z,2024-06-28T21:25:35.584000Z,2024-06-24T19:56:46.267931Z,2804.0,CHPYNJMX,70,English,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679c4618054ee0e79a33169,5ea1dc176205ad0c7c941ca1,APPROVED,Not Applicable,2024-06-24T19:10:32.335000Z,2024-06-24T20:03:59.283000Z,2024-06-28T21:25:36.078000Z,2024-06-24T20:04:00.696947Z,3207.0,CHPYNJMX,2092,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6679c486b7fe9242bf334fd8,6662cf12dd16203f37d02d3c,APPROVED,Not Applicable,2024-06-24T19:10:10.272000Z,2024-06-24T20:07:15.252000Z,2024-06-28T21:25:36.512000Z,2024-06-24T20:07:15.986472Z,3425.0,CHPYNJMX,16,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6679c610914b68e91c5faf1b,645cdd7e6f92e0c2aea92281,APPROVED,Not Applicable,2024-06-24T19:16:43.271000Z,2024-06-24T21:23:43.063000Z,2024-06-28T21:25:36.830000Z,2024-06-24T21:31:42.939318Z,7620.0,CHPYNJMX,1111,English,49,Female,Black,Nigeria,United States,Nigeria,English,No,Full-Time
