study,model,sub,npar,loglik,lme,bic,n_obs
study1,SR,sub-038.csv,2,-14.933252510760465,-14.933252510760465,40.252418723301346,180
study1,SR,sub-018.csv,2,-25.56425333272416,-25.56425333272416,61.51442036722874,180
study1,SR,sub-044.csv,2,-57.81796467618177,-57.81796467618177,126.02184305414396,180
study1,SR,sub-003.csv,2,-59.814688330573354,-59.814688330573354,130.01529036292712,180
study1,SR,sub-059.csv,2,-79.29784930754182,-79.29784930754182,168.98161231686407,180
study1,SR,sub-088.csv,2,-48.275511798920554,-48.275511798920554,106.93693729962153,180
study1,SR,sub-016.csv,2,-63.17727803705688,-63.17727803705688,136.74046977589418,180
study1,SR,sub-004.csv,2,-37.72533716412104,-37.72533716412104,85.83658803002251,180
study1,SR,sub-028.csv,2,-73.75900804628967,-73.75900804628967,157.90392979435975,180
study1,SR,sub-092.csv,2,-39.23096019929681,-39.23096019929681,88.84783410037404,180
study1,SR,sub-007.csv,2,-46.007090299703,-46.007090299703,102.40009430118643,180
study1,SR,sub-052.csv,2,-29.30849556492806,-29.30849556492806,69.00290483163654,180
study1,SR,sub-036.csv,2,-13.82427845141683,-13.82427845141683,38.034470604614086,180
study1,SR,sub-075.csv,2,-78.76983582617038,-78.76983582617038,167.92558535412118,180
study1,SR,sub-020.csv,2,-38.26425252814795,-38.26425252814795,86.91441875807632,180
study1,SR,sub-085.csv,2,-0.7280040282724265,-0.7280040282724265,11.841921758325274,180
study1,SR,sub-055.csv,2,-0.7977885690530614,-0.7977885690530614,11.981490839886543,180
study1,SR,sub-064.csv,2,-39.87611873292668,-39.87611873292668,90.13815116763378,180
study1,SR,sub-034.csv,2,-125.03161881693376,-125.03161881693376,260.4491513356479,180
study1,SR,sub-057.csv,2,-80.37102418809584,-80.37102418809584,171.12796207797211,180
study1,SR,sub-012.csv,2,-27.54963245643318,-27.54963245643318,65.48517861464678,180
study1,SR,sub-022.csv,2,-37.36611321328034,-37.36611321328034,85.11814012834111,180
study1,SR,sub-037.csv,2,-40.00584123018915,-40.00584123018915,90.39759616215872,180
study1,SR,sub-091.csv,2,-43.32151694802125,-43.32151694802125,97.02894759782292,180
study1,SR,sub-029.csv,2,-77.56669005218977,-77.56669005218977,165.51929380615996,180
study1,SR,sub-073.csv,2,-18.173151863131793,-18.173151863131793,46.73221742804401,180
study1,SR,sub-008.csv,2,-120.90401507067075,-120.90401507067075,252.19394384312193,180
study1,SR,sub-048.csv,2,-0.732124512731188,-0.732124512731188,11.850162727242797,180
study1,SR,sub-023.csv,2,-12.36376622994806,-12.36376622994806,35.11344616167654,180
study1,SR,sub-026.csv,2,-100.798117990551,-100.798117990551,211.98214968288244,180
study1,SR,sub-084.csv,2,-99.43308036560721,-99.43308036560721,209.25207443299485,180
study1,SR,sub-082.csv,2,-80.45774923518532,-80.45774923518532,171.30141217215106,180
