study,model,sub,npar,loglik,lme,bic,n_obs
study1,PR,sub-005.csv,2,-25.934288849604442,-25.934288849604442,62.25449140098931,180
study1,PR,sub-009.csv,2,-92.58669458524821,-92.58669458524821,195.55930287227685,180
study1,PR,sub-038.csv,2,-15.50579799042756,-15.50579799042756,41.397509682635544,180
study1,PR,sub-018.csv,2,-27.66671492094123,-27.66671492094123,65.71934354366289,180
study1,PR,sub-044.csv,2,-61.80048995670865,-61.80048995670865,133.98689361519772,180
study1,PR,sub-003.csv,2,-49.82979909804252,-49.82979909804252,110.04551189786547,180
study1,PR,sub-059.csv,2,-88.45326460345815,-88.45326460345815,187.29244290869673,180
study1,PR,sub-088.csv,2,-47.99243217972985,-47.99243217972985,106.37077806124013,180
study1,PR,sub-016.csv,2,-70.38700812869128,-70.38700812869128,151.15992995916298,180
study1,PR,sub-004.csv,2,-38.26936954229815,-38.26936954229815,86.92465278637673,180
study1,PR,sub-028.csv,2,-92.74547834834021,-92.74547834834021,195.87687039846085,180
study1,PR,sub-092.csv,2,-42.06986289423699,-42.06986289423699,94.5256394902544,180
study1,PR,sub-007.csv,2,-56.25631721504906,-56.25631721504906,122.89854813187854,180
study1,PR,sub-052.csv,2,-58.46564087588793,-58.46564087588793,127.31719545355628,180
study1,PR,sub-036.csv,2,-14.759307741172218,-14.759307741172218,39.904529184124854,180
study1,PR,sub-075.csv,2,-98.77242949263282,-98.77242949263282,207.93077268704607,180
study1,PR,sub-020.csv,2,-38.21914163007322,-38.21914163007322,86.82419696192686,180
study1,PR,sub-085.csv,2,-0.7174897598626195,-0.7174897598626195,11.82089322150566,180
study1,PR,sub-055.csv,2,-0.7547011990213637,-0.7547011990213637,11.895316099823148,180
study1,PR,sub-064.csv,2,-40.798841078961786,-40.798841078961786,91.983595859704,180
study1,PR,sub-034.csv,2,-125.02685157731699,-125.02685157731699,260.4396168564144,180
study1,PR,sub-057.csv,2,-85.66796196381874,-85.66796196381874,181.7218376294179,180
study1,PR,sub-012.csv,2,-39.12996526818914,-39.12996526818914,88.6458442381587,180
study1,PR,sub-022.csv,2,-26.367525616222032,-26.367525616222032,63.12096493422449,180
study1,PR,sub-037.csv,2,-39.96757838761275,-39.96757838761275,90.32107047700592,180
study1,PR,sub-091.csv,2,-42.56490496671248,-42.56490496671248,95.51572363520539,180
study1,PR,sub-029.csv,2,-87.90660797117428,-87.90660797117428,186.199129644129,180
