,MB_beta,forgetting,MB_depth,MB_breadth_A1,MB_breadth_A2,rewardEffectCache,cache,CB,repeat_control
36,1.657562160526873,0.03645821796010611,0.8423909382592429,5.012392195163544,2.555051973832012,0.4278672356477754,2.5058635129595643,0.6806451773159368,1.556428243543928
37,1.5556081734652198,0.08653623540478453,0.8384702781987046,0.7901384772505566,0.018338627889115458,1.2181447003421493,1.8950576613345114,1.2805999497378724,0.7331930383017242
38,1.2191290075749284,0.1551849504425344,0.8535745301450786,0.8465446841049145,1.358766709109902,0.428066827638218,1.9312148182691518,0.7719701246632262,0.5989674634545321
39,0.32406852084795584,0.1815078966808722,0.7435123161006073,1.2675708558690826,0.3024416965565243,0.3335082201402292,0.9128731258108987,0.10139629523708331,0.6874089244693762
40,1.7796126630645208,0.05039614283768665,0.8051784579964978,5.263295558528984,2.424598569158054,1.0172140247773904,4.010280840867039,0.8094816944207242,2.652968530291296
41,1.66708917635894,0.024508816098914657,0.911172321970131,4.328435675399233,1.846044094031473,0.7566185573634252,2.724587093605683,1.0018477662807366,4.988895466355865
42,1.310799027218035,0.025393137823313698,0.6582920309252458,4.117189622171528,1.987853820285253,1.0873973519879359,3.33974661636444,0.789955381910525,0.6438868875073123
43,1.392176105423995,0.03360891972997161,0.5186334812979021,4.82487550106452,0.9857838442290391,1.1880379880125855,2.0409012999295695,0.17513894002631564,2.8835096468161847
44,1.3710988523630938,0.006852805340234881,0.10331334191279917,4.8830732222965025,1.0138156990376237,0.6903907868316055,3.3614006153703855,0.2385354349470557,0.5328079651933869
45,1.6263019878658733,0.06722018262944307,0.8591223910957801,1.0818246212713012,0.03344429332174237,1.069804345894343,1.3956673045337133,0.3664650888430153,3.4508932811513526
46,0.5277738110061603,0.04248355437497042,0.8081522999170837,1.9485696274383815,0.17287157360266903,0.633398436532177,1.3035432885092377,-0.41064011387799093,2.43314111674907
47,1.2119422894641618,0.046867741926686836,0.8078629868844804,4.485058070899395,0.40191113000003287,0.9951766333111584,2.8760515761789884,1.655643836234804,2.7951520973121253
48,1.0764128007437312,0.14046132658751076,0.15665008269578307,4.923870398513195,0.6149836251225141,1.0206587259059505,2.0668570796741568,0.8047233650784971,2.1270974028533556
49,0.8318509149188015,0.12240810858967206,0.7942078260257561,1.8421230091587086,0.2616219465984353,1.1538359096659263,1.1903539027345909,-0.09140530714948004,1.096578714449948
50,1.181518628619465,0.04411581666489423,0.8135956604017831,4.9353007852090816,0.3357882993116871,1.393720650681459,2.1252947987605024,-0.6648734155017674,4.075827803403357
51,0.8614682971312615,0.08404485087504698,0.3311588573975505,1.3229700823059356,0.7646397782037724,0.7419233912902838,1.6625548894320479,-0.7861330040076311,3.481850543585753
52,0.7915416578253996,0.025708811063362376,0.2930494925691152,3.4955339756320645,0.3572253654215449,0.8216031284424729,4.5774149082716304,-0.6044627111504308,0.20639522050569695
53,2.686670471709523,0.053075466465607866,0.917486003160684,5.79856656962486,0.01121349480958219,0.8364568470188234,2.8866916052979303,-0.16014670270479323,0.8896102259248965
54,1.1357913425424893,0.04648250051134381,0.8092916665155134,4.3465379178647385,0.4051127095324304,0.9516429803486861,2.8279806947396233,1.8452190250374996,3.099235084711852
55,0.4343811361095747,0.13946612762973576,0.9811363334140204,1.0448128673992936,0.07328549902784658,0.42279626293248773,2.4717224135106477,-1.2076652204484848,3.505765625197446
56,1.115388958983916,0.018581868601452427,0.7039817707088256,3.9453674429425325,1.507768799321655,1.3666845675509265,3.887034759739975,1.1034574464902924,3.6117321990315316
57,1.1388606552768703,0.03705833373666652,0.8638739906439012,1.9095820514100257,0.39779814219984583,1.1126479482417466,2.9635306896723477,0.5722717530815438,0.3527438111970589
58,1.4733169990682187,0.049564390546280736,0.847321137383432,1.6758565224767734,0.09301787871072414,0.7339836877807915,3.988073317745263,-0.0650310188724362,3.794447913009841
59,0.6774754138249534,0.020555434025267834,0.14716962811414705,1.990944143266403,0.7436439982787064,0.8727327436166199,1.4308105111189398,-1.4490888307034826,3.1666367185029887
60,2.1045791670481977,0.04514028652413886,0.39365454882766426,5.100491528810974,0.04200957058843656,1.1151292225200704,1.4595240733626804,0.4769537418239403,1.1839942000836303
