sub,planning_depth,trial_num_within_goal,decision,rollouts,control,b1,b2,RT_sec,RT,delayed_planning,goal_switch,control_regressor
9,3,5,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,5,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,6,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,6,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,6,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,7,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,7,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,7,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,8,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,8,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,8,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,9,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,9,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,9,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,10,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,10,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,10,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,11,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,11,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,11,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,12,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,12,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,12,3,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
9,3,13,1,6.514133911289698,1,0.8142667389112123,0.1727027821953382,2.654240173386909,0.9761584266863288,1,0,1.0
9,3,13,2,0.0,1,0.8142667389112123,0.1727027821953382,0.7,-0.35667494393873245,0,0,1.0
