,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choice_numeric_last,choices_numeric,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,optimal_metacontrol_choice_accurate,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,meta_action,switch_order,goal_reachability
30,30,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5084745762711864,11,images/toothbrush.png,2,1,1.0,1,1,-0.3011050927839216,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
31,31,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.423728813559322,12,images/toothbrush.png,2,1,1.0,1,1,0.1176052420742634,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
32,32,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.4067796610169492,13,images/toothbrush.png,2,1,1.0,0,1,-0.5144990291322996,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
33,33,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.3389830508474576,14,images/toothbrush.png,2,1,1.0,1,1,-0.5769654262705357,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
34,34,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.3050847457627119,15,images/toothbrush.png,2,1,1.0,1,1,-0.323240167852495,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
35,35,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.288135593220339,16,images/toothbrush.png,2,1,1.0,0,1,-0.8753887405537293,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
36,36,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.2372881355932203,17,images/toothbrush.png,2,1,1.0,1,1,0.0759420035751573,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
37,37,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.2033898305084746,18,images/toothbrush.png,2,1,1.0,1,1,-0.2697111871305446,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
38,38,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.1694915254237288,19,images/toothbrush.png,2,1,1.0,1,1,0.8019567414172205,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
39,39,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.135593220338983,20,images/toothbrush.png,2,1,1.0,1,1,-0.6328049515537836,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
40,40,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.9322033898305084,1,images/bowtie.png,3,0,,1,1,0.948796643430414,0,0,3,0,space,30,0,0,1,1,0.0,2,0,Won_Novel,-10,0,0,1,0,0.0,-100,0,-300,72300,,1,1,1
41,41,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.8813559322033898,2,images/car.png,3,1,,1,1,0.5192698705486537,0,0,3,0,left,30,1,1,0,0,0.0,0,0,Lost_Novel,0,1,1,1,0,0.0,0,400,400,72300,1.0,0,1,0
42,42,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.864406779661017,3,images/backpack.png,3,0,,0,1,0.9033270654822964,0,0,3,0,space,30,0,0,1,1,0.0,2,0,Won_Novel,-10,0,0,1,0,1.0,-100,0,-100,72300,0.5,1,0,-1
43,43,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.7966101694915254,4,images/backpack.png,3,0,0.0,1,1,0.5432540909853283,0,0,3,0,space,30,0,0,0,1,1.0,2,-1,Won_Novel,-10,0,0,1,0,0.0,-100,0,-300,72300,,1,1,1
44,44,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.7796610169491526,5,images/car.png,3,1,1.0,0,1,1.0680843502991513,0,0,3,0,left,30,1,1,0,0,0.0,0,0,Lost_Novel,0,1,1,1,0,0.0,0,400,400,72300,1.0,0,1,0
45,45,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.711864406779661,6,images/car.png,3,1,1.0,1,1,0.2053053931843299,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
46,46,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.6440677966101694,7,images/car.png,3,1,1.0,1,1,0.8258845079981396,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
47,47,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.6271186440677966,8,images/car.png,3,1,1.0,0,1,0.0782564979657673,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
48,48,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5932203389830508,9,images/bowtie.png,3,0,0.0,1,1,0.4463511005805068,0,0,3,0,space,30,0,0,1,1,1.0,2,-1,Won_Novel,-10,0,0,1,0,1.0,-100,0,-200,72300,0.0,1,0,-1
49,49,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5423728813559322,10,images/car.png,3,1,1.0,1,1,0.7623000392482621,0,0,3,0,left,30,1,1,0,0,0.0,0,0,Lost_Novel,0,1,1,1,0,0.0,0,400,400,72300,1.0,0,1,0
50,50,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5084745762711864,11,images/car.png,3,1,1.0,1,1,-0.3444640865507654,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
51,51,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.423728813559322,12,images/car.png,3,1,1.0,1,1,-0.9665319483109016,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
52,52,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.4067796610169492,13,images/car.png,3,1,1.0,0,1,-0.4827241936551159,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
53,53,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.3389830508474576,14,images/car.png,3,1,1.0,1,1,-0.5693378948336589,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
54,54,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.3050847457627119,15,images/car.png,3,1,1.0,1,1,-1.452006904485272,0,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
55,55,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.288135593220339,16,images/car.png,3,1,1.0,0,1,-1.4196443408014447,0,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
56,56,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.2372881355932203,17,images/car.png,3,1,1.0,1,1,-1.2772606000957685,0,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
57,57,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.2033898305084746,18,images/car.png,3,1,1.0,1,1,-1.252113179653871,0,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
58,58,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.1694915254237288,19,images/car.png,3,1,1.0,1,1,-1.2275826699650698,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
59,59,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.135593220338983,20,images/car.png,3,1,1.0,1,1,-0.2218943319137777,0,0,3,0,left,30,1,1,1,0,0.0,0,0,Lost_Novel,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
60,60,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.9491525423728814,1,start,1,0,,1,1,1.2090797416940806,1,0,3,1,right,30,1,1,0,0,0.0,1,0,Won_Novel,1,1,0,0,0,0.0,0,0,0,53100,0.3333333333333333,0,1,0
61,61,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.9152542372881356,2,start,1,0,0.0,1,1,0.9521596802883978,1,0,3,1,left,30,1,1,1,0,0.0,0,0,Won_Novel,1,1,0,0,0,1.0,0,0,0,53100,0.0,0,1,0
62,62,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.8305084745762712,3,start,1,0,0.0,1,1,1.2715847227359558,1,0,3,1,right,30,1,1,1,0,0.0,1,0,Won_Novel,1,1,0,0,0,1.0,0,0,0,53100,0.3333333333333333,0,1,0
63,63,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.7966101694915254,4,start,1,0,0.0,1,1,0.4110494864020649,1,0,3,1,left,30,1,1,1,0,0.0,0,0,Won_Novel,1,1,0,0,0,1.0,0,0,0,53100,0.0,0,1,0
64,64,566feba6b937e400052d33b2_thisExp_2024-06-24_20h01.29.945.csv,-0.7796610169491526,5,start,1,0,0.0,0,1,0.8909318974072649,1,0,3,1,right,30,1,1,1,0,0.0,1,0,Won_Novel,1,1,0,0,0,1.0,0,0,0,53100,0.3333333333333333,0,1,0
